,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,74.48,83,99,14.41,PF,1603896385
1,parsabad,39.65,47.92,64.27,48,94,3.4,IR,1603896391
2,port alfred,-33.59,26.89,69.12,75,69,6.64,ZA,1603896391
3,arraial do cabo,-22.97,-42.03,89.6,66,0,5.82,BR,1603896391
4,mataura,-46.19,168.86,46.0,90,89,3.0,NZ,1603896391
5,hermanus,-34.42,19.23,69.01,59,97,8.99,ZA,1603896391
6,cape town,-33.93,18.42,64.0,66,92,10.0,ZA,1603896192
7,geraldton,-28.77,114.6,66.2,72,0,16.11,AU,1603896391
8,pisco,-13.7,-76.22,66.0,82,20,5.82,PE,1603896391
9,acarau,-2.89,-40.12,88.72,53,10,18.75,BR,1603896391
10,puerto ayora,-0.74,-90.35,70.0,88,75,2.24,EC,1603896391
11,uruzgan,32.83,66.0,43.2,55,0,2.59,AF,1603896392
12,dunedin,-45.87,170.5,51.01,80,97,6.29,NZ,1603896376
13,yellowknife,62.46,-114.35,19.4,92,90,3.36,CA,1603896303
14,albany,42.6,-73.97,46.0,90,100,2.57,US,1603896392
15,bryan,30.67,-96.37,42.8,100,90,12.75,US,1603896283
16,avarua,-21.21,-159.78,69.8,88,58,6.93,CK,1603896392
17,atuona,-9.8,-139.03,77.58,75,36,19.13,PF,1603896392
18,bluff,-46.6,168.33,46.0,90,89,3.0,NZ,1603896392
19,new norfolk,-42.78,147.06,51.8,81,90,4.7,AU,1603896392
20,chapais,49.78,-74.85,28.4,86,90,13.87,CA,1603896392
21,cherskiy,68.75,161.3,6.78,94,94,7.92,RU,1603896393
22,esperance,-33.87,121.9,55.4,82,40,9.17,AU,1603896393
23,vila franca do campo,37.72,-25.43,66.2,59,75,6.93,PT,1603896393
24,hofn,64.25,-15.21,42.8,81,75,10.29,IS,1603896393
25,vaini,-21.2,-175.2,71.6,83,20,5.82,TO,1603896393
26,punta arenas,-53.15,-70.92,46.4,52,75,34.45,CL,1603896393
27,provideniya,64.38,-173.3,24.85,89,46,4.97,RU,1603896393
28,menongue,-14.66,17.69,81.72,39,65,6.67,AO,1603896394
29,narsaq,60.92,-46.05,30.2,80,75,2.82,GL,1603896394
30,betong,5.77,101.07,73.56,93,100,1.07,TH,1603896394
31,half moon bay,37.46,-122.43,55.0,71,5,3.0,US,1603896394
32,lebu,-37.62,-73.65,54.5,64,0,9.28,CL,1603896394
33,havelock,34.88,-76.9,73.99,88,1,3.36,US,1603896394
34,chkalovskoye,44.84,133.04,36.66,78,1,9.62,RU,1603896394
35,barrow,71.29,-156.79,24.8,79,75,24.16,US,1603896301
36,bredasdorp,-34.53,20.04,69.01,59,98,8.99,ZA,1603896395
37,port moresby,-9.44,147.18,74.79,93,100,3.0,PG,1603896395
38,tiksi,71.69,128.87,0.34,89,98,22.15,RU,1603896395
39,dolores,-36.31,-57.68,62.64,81,100,12.26,AR,1603896395
40,sukumo,32.93,132.73,58.26,62,70,4.81,JP,1603896395
41,busselton,-33.65,115.33,59.0,46,0,14.38,AU,1603896395
42,aitape,-3.14,142.35,78.69,83,100,3.36,PG,1603896395
43,ushuaia,-54.8,-68.3,37.4,93,40,11.41,AR,1603896291
44,abeche,13.83,20.83,97.05,15,0,1.48,TD,1603896395
45,ratnagiri,16.98,73.3,80.2,76,20,6.35,IN,1603896262
46,sar-e pul,35.83,66.17,32.79,84,0,1.21,AF,1603896396
47,broome,42.25,-75.83,46.99,93,90,6.93,US,1603896396
48,port hedland,-20.32,118.57,75.2,83,1,8.05,AU,1603896396
49,san patricio,28.02,-97.52,50.0,93,90,13.87,US,1603896396
50,severo-kurilsk,50.68,156.12,41.92,87,8,5.64,RU,1603896396
51,hambantota,6.12,81.12,80.22,84,99,15.28,LK,1603896396
52,qaanaaq,77.48,-69.36,11.89,81,99,12.37,GL,1603896396
53,bara,10.37,10.73,95.0,19,0,13.87,NG,1603896396
54,ardatov,55.24,43.1,37.69,77,0,11.52,RU,1603896397
55,havoysund,71.0,24.66,35.6,100,75,5.82,NO,1603896397
56,souillac,-20.52,57.52,75.0,71,100,5.99,MU,1603896397
57,sitka,57.05,-135.33,44.6,81,90,9.17,US,1603896397
58,kodiak,57.79,-152.41,32.0,77,75,5.82,US,1603896324
59,kamenka,51.32,42.77,39.99,40,0,10.47,RU,1603896397
60,ponta do sol,32.67,-17.1,71.6,60,40,11.41,PT,1603896397
61,porto belo,-27.16,-48.55,84.99,41,0,7.0,BR,1603896397
62,saint-philippe,-21.36,55.77,75.2,78,20,20.8,RE,1603896397
63,daru,-9.08,143.21,76.12,89,92,2.1,PG,1603896398
64,sakti,22.03,82.97,73.35,55,0,1.48,IN,1603896398
65,dikson,73.51,80.55,4.03,93,15,21.61,RU,1603896398
66,tingo maria,-9.29,-76.01,78.8,74,75,2.24,PE,1603896398
67,rincon,32.3,-81.24,82.99,69,75,10.29,US,1603896398
68,mocuba,-16.84,36.99,86.13,45,46,11.99,MZ,1603896398
69,el transito,13.35,-88.35,84.22,68,53,1.88,SV,1603896398
70,butaritari,3.07,172.79,80.69,67,24,1.61,KI,1603896399
71,harper,4.38,-7.72,80.98,80,82,7.34,LR,1603896399
72,usinsk,65.99,57.53,35.17,98,100,16.51,RU,1603896399
73,hirara,24.8,125.28,77.68,77,29,17.43,JP,1603896399
74,kapaa,22.08,-159.32,76.53,70,10,4.76,US,1603896399
75,kaitangata,-46.28,169.85,51.01,84,92,10.0,NZ,1603896399
76,oildale,35.42,-119.02,50.0,37,1,1.74,US,1603896399
77,east london,-33.02,27.91,70.68,74,90,5.55,ZA,1603896399
78,bethel,41.37,-73.41,46.0,89,100,1.99,US,1603896400
79,houlton,46.13,-67.84,30.2,54,75,4.7,US,1603896400
80,kahta,37.79,38.62,68.11,24,70,2.8,TR,1603896400
81,port elizabeth,-33.92,25.57,69.8,73,20,11.41,ZA,1603896400
82,tasiilaq,65.61,-37.64,35.6,29,75,21.92,GL,1603896400
83,cabo san lucas,22.89,-109.91,72.0,61,0,11.01,MX,1603896400
84,okhotsk,59.38,143.3,29.57,89,74,7.9,RU,1603896400
85,veraval,20.9,70.37,81.27,63,0,7.16,IN,1603896400
86,zhigalovo,54.81,105.16,30.27,95,97,3.31,RU,1603896400
87,charters towers,-20.1,146.27,73.54,76,0,3.74,AU,1603896401
88,leirvik,59.78,5.5,46.99,93,75,16.11,NO,1603896401
89,kyabe,9.45,18.94,93.63,34,0,4.81,TD,1603896401
90,hobart,-42.88,147.33,51.8,81,90,4.7,AU,1603896110
91,comodoro rivadavia,-45.87,-67.5,57.2,35,40,14.99,AR,1603896401
92,acajutla,13.59,-89.83,75.99,93,44,1.01,SV,1603896153
93,christchurch,-43.53,172.63,53.01,87,100,6.93,NZ,1603896137
94,fort-de-france,14.61,-61.07,80.6,83,75,13.87,MQ,1603896401
95,viseu,40.66,-7.91,64.99,74,54,5.01,PT,1603896401
96,baracoa,20.35,-74.5,83.21,78,55,13.42,CU,1603896401
97,arman,59.7,150.17,30.31,85,6,3.98,RU,1603896402
98,kieta,-6.22,155.63,79.11,79,100,4.12,PG,1603896402
99,teknaf,20.86,92.31,79.11,84,97,6.82,BD,1603896402
100,port blair,11.67,92.75,80.8,77,99,2.59,IN,1603896402
101,saskylakh,71.92,114.08,5.16,91,100,13.65,RU,1603896402
102,puerto madero,14.72,-92.42,78.8,94,20,3.51,MX,1603896402
103,ikongo,-21.88,47.43,71.42,82,54,3.29,MG,1603896402
104,alappuzha,9.49,76.33,75.0,88,100,5.01,IN,1603896402
105,changji,44.02,87.32,48.2,42,0,6.71,CN,1603896403
106,ribeira grande,38.52,-28.7,68.0,64,20,9.17,PT,1603896403
107,phalaborwa,-23.94,31.14,94.53,16,12,11.14,ZA,1603896403
108,hilo,19.73,-155.09,71.01,86,54,1.99,US,1603896142
109,tulun,54.56,100.58,36.68,81,100,11.52,RU,1603896403
110,freeport,40.66,-73.58,55.4,93,90,5.57,US,1603896369
111,kloulklubed,7.04,134.26,84.36,73,42,11.68,PW,1603896403
112,pevek,69.7,170.31,19.94,93,100,9.64,RU,1603896403
113,petropavlovsk-kamchatskiy,53.05,158.65,35.6,100,90,6.71,RU,1603896403
114,clyde river,70.47,-68.59,14.0,78,75,18.34,CA,1603896403
115,khatanga,71.97,102.5,-3.03,91,46,3.74,RU,1603896404
116,port lincoln,-34.73,135.87,61.77,62,76,14.79,AU,1603896404
117,atar,20.52,-13.05,94.98,13,100,14.12,MR,1603896404
118,chokurdakh,70.63,147.92,3.51,95,99,7.78,RU,1603896404
119,kavieng,-2.57,150.8,82.72,72,71,4.25,PG,1603896404
120,ostrovnoy,68.05,39.51,38.62,91,100,8.52,RU,1603896404
121,alofi,-19.06,-169.92,71.6,83,46,11.41,NU,1603896404
122,hithadhoo,-0.6,73.08,83.79,72,26,12.57,MV,1603896404
123,faya,18.39,42.45,71.6,14,20,11.41,SA,1603896405
124,bouna,9.27,-3.0,94.53,22,0,5.06,CI,1603896405
125,upernavik,72.79,-56.15,11.68,80,13,6.6,GL,1603896405
126,hualmay,-11.1,-77.61,68.27,69,77,9.17,PE,1603896405
127,bandar,2.05,99.75,75.7,84,95,2.37,ID,1603896405
128,tananger,58.93,5.6,51.8,76,75,23.04,NO,1603896405
129,sobolevo,54.43,31.9,45.9,85,2,8.12,RU,1603896405
130,bajil,15.06,43.29,88.18,39,0,7.4,YE,1603896405
131,yerbogachen,61.28,108.01,17.73,89,77,11.3,RU,1603896405
132,thompson,55.74,-97.86,10.4,72,75,6.93,CA,1603896405
133,contamana,-7.33,-75.02,93.94,44,96,4.88,PE,1603896406
134,lorengau,-2.02,147.27,81.07,77,84,2.33,PG,1603896406
135,ekhabi,53.51,142.97,36.21,92,100,1.3,RU,1603896406
136,sorong,-0.88,131.25,74.73,91,100,7.54,ID,1603896406
137,bathsheba,13.22,-59.52,84.31,75,90,21.5,BB,1603896406
138,ribeira brava,32.65,-17.07,71.6,60,40,11.41,PT,1603896329
139,ayna,-12.65,-73.92,64.4,17,0,4.7,PE,1603896406
140,russell,32.35,-85.2,75.2,88,90,5.82,US,1603896406
141,husavik,66.04,-17.34,41.0,75,75,16.11,IS,1603896335
142,yanam,16.73,82.22,78.64,69,55,5.03,IN,1603896407
143,volchikha,52.03,80.38,28.44,97,100,13.18,RU,1603896407
144,samarai,-10.62,150.67,80.49,85,100,10.16,PG,1603896407
145,benghazi,32.12,20.07,72.12,60,10,18.66,LY,1603896407
146,vardo,70.37,31.11,39.2,86,75,8.05,NO,1603896407
147,vila velha,-20.33,-40.29,91.4,63,75,10.29,BR,1603896186
148,comendador,18.88,-71.7,82.87,61,2,0.98,DO,1603896407
149,kropotkin,45.44,40.58,64.0,51,0,13.67,RU,1603896407
150,constitucion,-35.33,-72.42,58.44,59,0,12.37,CL,1603896407
151,semnan,35.57,53.4,59.83,33,0,0.49,IR,1603896407
152,rorvik,64.86,11.24,46.4,70,0,5.82,NO,1603896407
153,arroio grande,-32.24,-53.09,70.14,80,100,9.33,BR,1603896407
154,ascension,30.22,-90.9,80.6,88,90,4.7,US,1603896408
155,saint-denis,48.92,2.33,59.0,67,90,16.11,FR,1603896408
156,jamestown,42.1,-79.24,45.0,100,90,6.93,US,1603896201
157,chhindwara,22.07,78.93,70.29,56,36,1.88,IN,1603896237
158,huilong,31.81,121.66,66.0,89,99,11.68,CN,1603896408
159,bom jesus da lapa,-13.26,-43.42,90.7,42,70,5.48,BR,1603896408
160,sao joao da barra,-21.64,-41.05,87.8,58,20,4.7,BR,1603896408
161,ashbourne,53.51,-6.43,48.0,81,40,11.41,IE,1603896408
162,srednekolymsk,67.45,153.68,4.73,94,75,5.14,RU,1603896408
163,mount gambier,-37.83,140.77,44.6,100,63,8.05,AU,1603896409
164,evensk,61.95,159.23,23.88,81,0,5.46,RU,1603896409
165,hobyo,5.35,48.53,80.94,73,1,8.43,SO,1603896409
166,kommunar,59.62,30.39,50.0,76,75,4.47,RU,1603896409
167,manuk mangkaw,4.8,119.85,83.53,82,95,9.28,PH,1603896409
168,handlova,48.73,18.76,62.6,63,40,6.93,SK,1603896409
169,atambua,-9.11,124.89,76.17,84,67,3.65,ID,1603896410
170,henties bay,-22.12,14.28,63.25,65,1,10.42,NA,1603896410
171,chuy,-33.7,-53.46,68.4,86,99,6.96,UY,1603896410
172,nikolskoye,59.7,30.79,50.0,76,75,4.47,RU,1603896410
173,saint george,37.1,-113.58,42.8,28,1,5.82,US,1603896410
174,mount hagen,-5.86,144.23,58.19,92,79,2.66,PG,1603896410
